Product_Number,Description,V,R,L,inertia,mass,k_t,k_e,I_nom,omega_nl,I_nl,R_wh,R_ha,omega_max,Stall_torque,Price
unknown_496,"ECX SPEED 22 L Ø22 mm, brushless, sensorless",24,0.105,1.1e-05,2.36e-07,0.14,0.00423,0.00423,6.92,5665.33875197359,0.425,0.84,12.5,6283.18530717959,0.965,407
unknown_497,"ECX SPEED 22 L Ø22 mm, brushless, with Hall sensors",36,0.189,2.4e-05,2.36e-07,0.14,0.00611,0.00611,4.89,5885.25023772488,0.303,0.84,12.5,6283.18530717959,1.16,428.82
unknown_498,"ECX SPEED 22 L Ø22 mm, brushless, sensorless",36,0.189,2.4e-05,2.36e-07,0.14,0.00611,0.00611,4.89,5885.25023772488,0.303,0.84,12.5,6283.18530717959,1.16,407
unknown_499,"ECX SPEED 22 L Ø22 mm, brushless, with Hall sensors",48,0.343,4.1e-05,2.36e-07,0.14,0.00799,0.00799,3.54,6000.4419683565,0.235,0.84,12.5,6283.18530717959,1.12,428.82
unknown_500,"ECX SPEED 22 L Ø22 mm, brushless, sensorless",48,0.343,4.1e-05,2.36e-07,0.14,0.00799,0.00799,3.54,6000.4419683565,0.235,0.84,12.5,6283.18530717959,1.12,407
unknown_501,"ECX SPEED 22 L Ø22 mm, brushless, with Hall sensors",24,0.103,9e-06,3.94e-07,0.14,0.00463,0.00463,6.67,5173.15590291119,0.432,0.841,12.2,6283.18530717959,1.08,260.09
unknown_502,"ECX SPEED 22 L Ø22 mm, brushless, sensorless",24,0.103,9e-06,3.94e-07,0.14,0.00463,0.00463,6.67,5173.15590291119,0.432,0.841,12.2,6283.18530717959,1.08,238.45
unknown_503,"ECX SPEED 22 L Ø22 mm, brushless, with Hall sensors",36,0.187,1.9e-05,3.94e-07,0.14,0.00668,0.00668,4.67,5382.59541315051,0.307,0.841,12.2,6283.18530717959,1.29,260.09
unknown_504,"ECX SPEED 22 L Ø22 mm, brushless, sensorless",36,0.187,1.9e-05,3.94e-07,0.14,0.00668,0.00668,4.67,5382.59541315051,0.307,0.841,12.2,6283.18530717959,1.29,238.45
unknown_505,"ECX SPEED 22 L Ø22 mm, brushless, with Hall sensors",48,0.341,3.2e-05,3.94e-07,0.14,0.00874,0.00874,3.36,5487.31516827017,0.238,0.841,12.2,6283.18530717959,1.23,260.09
unknown_506,"ECX SPEED 22 L Ø22 mm, brushless, sensorless",48,0.341,3.2e-05,3.94e-07,0.14,0.00874,0.00874,3.36,5487.31516827017,0.238,0.841,12.2,6283.18530717959,1.23,238.45
unknown_507,"ECX SPEED 22 L Ø22 mm, brushless, with Hall sensors",24,0.375,2.3e-05,3.89e-07,0.14,0.00599,0.00599,3.35,3979.35069454707,0.337,0.62,12.7,4712.38898038469,0.383,212.18
unknown_508,"ECX SPEED 22 L Ø22 mm, brushless, sensorless",24,0.375,2.3e-05,3.89e-07,0.14,0.00599,0.00599,3.35,3979.35069454707,0.337,0.62,12.7,4712.38898038469,0.383,186.73
unknown_509,"ECX SPEED 22 L Ø22 mm, brushless, with Hall sensors",36,0.823,5.6e-05,3.89e-07,0.14,0.00929,0.00929,2.27,3853.68698840348,0.214,0.62,12.7,4712.38898038469,0.407,212.18
unknown_510,"ECX SPEED 22 L Ø22 mm, brushless, sensorless",36,0.823,5.6e-05,3.89e-07,0.14,0.00929,0.00929,2.27,3853.68698840348,0.214,0.62,12.7,4712.38898038469,0.407,186.73
unknown_511,"ECX SPEED 22 L Ø22 mm, brushless, with Hall sensors",48,1.27,9.7e-05,3.89e-07,0.14,0.0122,0.0122,1.8,3916.51884147528,0.164,0.62,12.7,4712.38898038469,0.461,212.18
unknown_512,"ECX SPEED 22 L Ø22 mm, brushless, sensorless",48,1.27,9.7e-05,3.89e-07,0.14,0.0122,0.0122,1.8,3916.51884147528,0.164,0.62,12.7,4712.38898038469,0.461,186.73
unknown_513,"ECX SPEED 22M Ø22 mm, ceramic bearings, brushless, with Hall sensors",18,0.172,9e-06,1.91e-07,0.1,0.00324,0.00324,5.56,5529.20307031804,0.391,0.6,15,8901.17918517108,0.34,417
unknown_514,"ECX SPEED 22M Ø22 mm, ceramic bearings, brushless, sensorless",18,0.172,9e-06,1.91e-07,0.1,0.00324,0.00324,5.56,5529.20307031804,0.391,0.6,15,8901.17918517108,0.34,394.91
unknown_515,"ECX SPEED 22M Ø22 mm, ceramic bearings, brushless, with Hall sensors",24,0.274,1.5e-05,1.91e-07,0.1,0.00417,0.00417,4.32,5728.17060504539,0.311,0.6,15,8901.17918517108,0.365,417
unknown_516,"ECX SPEED 22M Ø22 mm, ceramic bearings, brushless, sensorless",24,0.274,1.5e-05,1.91e-07,0.1,0.00417,0.00417,4.32,5728.17060504539,0.311,0.6,15,8901.17918517108,0.365,394.91
unknown_517,"ECX SPEED 22M Ø22 mm, ceramic bearings, brushless, with Hall sensors",36,0.599,3.2e-05,1.91e-07,0.1,0.00602,0.00602,2.87,5948.08209079667,0.221,0.6,15,8901.17918517108,0.362,417
unknown_518,"ECX SPEED 22M Ø22 mm, ceramic bearings, brushless, sensorless",36,0.599,3.2e-05,1.91e-07,0.1,0.00602,0.00602,2.87,5948.08209079667,0.221,0.6,15,8901.17918517108,0.362,394.91
unknown_519,"ECX SPEED 22M Ø22 mm, ceramic bearings, brushless, with Hall sensors",48,1.11,6.2e-05,1.91e-07,0.1,0.00834,0.00834,2.11,5728.17060504539,0.156,0.6,15,8901.17918517108,0.361,417
unknown_520,"ECX SPEED 22M Ø22 mm, ceramic bearings, brushless, sensorless",48,1.11,6.2e-05,1.91e-07,0.1,0.00834,0.00834,2.11,5728.17060504539,0.156,0.6,15,8901.17918517108,0.361,394.91
unknown_521,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",18,0.172,9e-06,1.91e-07,0.1,0.00324,0.00324,5.65,5529.20307031804,0.28,0.6,15,6283.18530717959,0.34,400
unknown_522,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",18,0.172,9e-06,1.91e-07,0.1,0.00324,0.00324,5.65,5529.20307031804,0.28,0.6,15,6283.18530717959,0.34,377.82
unknown_523,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",24,0.274,1.5e-05,1.91e-07,0.1,0.00417,0.00417,4.4,5738.64258055736,0.222,0.6,15,6283.18530717959,0.365,400
unknown_524,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",24,0.274,1.5e-05,1.91e-07,0.1,0.00417,0.00417,4.4,5738.64258055736,0.222,0.6,15,6283.18530717959,0.365,377.82
unknown_525,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",36,0.599,3.2e-05,1.91e-07,0.1,0.00602,0.00602,2.93,5958.55406630864,0.157,0.6,15,6283.18530717959,0.362,400
unknown_526,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",36,0.599,3.2e-05,1.91e-07,0.1,0.00602,0.00602,2.93,5958.55406630864,0.157,0.6,15,6283.18530717959,0.362,377.82
unknown_527,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",48,1.11,6.2e-05,1.91e-07,0.1,0.00834,0.00834,2.15,5738.64258055736,0.111,0.6,15,6283.18530717959,0.361,400
unknown_528,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",48,1.11,6.2e-05,1.91e-07,0.1,0.00834,0.00834,2.15,5738.64258055736,0.111,0.6,15,6283.18530717959,0.361,377.82
unknown_529,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",18,0.133,1e-05,2.15e-07,0.098,0.00337,0.00337,6.28,5330.23553559068,0.324,0.6,15,6283.18530717959,0.454,235.64
unknown_530,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",18,0.133,1e-05,2.15e-07,0.098,0.00337,0.00337,6.28,5330.23553559068,0.324,0.6,15,6283.18530717959,0.454,212.82
unknown_531,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",24,0.172,1.3e-05,2.15e-07,0.098,0.00393,0.00393,5.36,6084.21777245223,0.302,0.6,15,6283.18530717959,0.549,235.64
unknown_532,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",24,0.172,1.3e-05,2.15e-07,0.098,0.00393,0.00393,5.36,6084.21777245223,0.302,0.6,15,6283.18530717959,0.549,212.82
unknown_533,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",36,0.414,3.3e-05,2.15e-07,0.098,0.00618,0.00618,3.4,5811.94640914112,0.186,0.6,15,6283.18530717959,0.537,235.64
unknown_534,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",36,0.414,3.3e-05,2.15e-07,0.098,0.00618,0.00618,3.4,5811.94640914112,0.186,0.6,15,6283.18530717959,0.537,212.82
unknown_535,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",48,0.983,6.5e-05,2.15e-07,0.098,0.0087,0.0087,2.2,5497.78714378214,0.128,0.6,15,6283.18530717959,0.425,235.64
unknown_536,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",48,0.983,6.5e-05,2.15e-07,0.098,0.0087,0.0087,2.2,5497.78714378214,0.128,0.6,15,6283.18530717959,0.425,212.82
unknown_537,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",18,0.493,2.7e-05,2.13e-07,0.098,0.0042,0.0042,2.89,4230.67810683425,0.378,1.34,15,4712.38898038469,0.154,201.55
unknown_538,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",18,0.493,2.7e-05,2.13e-07,0.098,0.0042,0.0042,2.89,4230.67810683425,0.378,1.34,15,4712.38898038469,0.154,175.64
unknown_539,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",24,0.779,5e-05,2.13e-07,0.098,0.00567,0.00567,2.28,4188.79020478639,0.279,1.34,15,4712.38898038469,0.175,201.55
unknown_540,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",24,0.779,5e-05,2.13e-07,0.098,0.00567,0.00567,2.28,4188.79020478639,0.279,1.34,15,4712.38898038469,0.175,175.64
unknown_541,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",36,1.54,0.000109,2.13e-07,0.098,0.0084,0.0084,1.61,4241.15008234622,0.189,1.34,15,4712.38898038469,0.196,201.55
unknown_542,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",36,1.54,0.000109,2.13e-07,0.098,0.0084,0.0084,1.61,4241.15008234622,0.189,1.34,15,4712.38898038469,0.196,175.64
unknown_543,"ECX SPEED 22M Ø22 mm, brushless, with Hall sensors",48,2.86,0.000194,2.13e-07,0.098,0.0112,0.0112,1.18,4230.67810683425,0.141,1.34,15,4712.38898038469,0.189,201.55
unknown_544,"ECX SPEED 22 M Ø22 mm, brushless, sensorless",48,2.86,0.000194,2.13e-07,0.098,0.0112,0.0112,1.18,4230.67810683425,0.141,1.34,15,4712.38898038469,0.189,175.64
